Unnamed: 0,1: Easy to Use  (Clear Steps),1: Works Fine (Fast),2: Recomendaría,5: Long-term users,6: Adapt from Previous Versions,8: Amazon purchase (price),11: Easy to Use,12: Online version (mobile app),15: Install/download problems,20: Turbo Tax,21: SO versions,23: Interface User friendly,Dom_Topic
48102,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.16,0.02,0.03,0.04,13
48103,0.04,0.04,0.04,0.04,0.04,0.07,0.04,0.04,0.04,0.04,0.04,0.04,8
48104,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,8
48105,0.03,0.03,0.03,0.03,0.03,0.08,0.03,0.11,0.03,0.04,0.05,0.03,12
48106,0.01,0.03,0.02,0.02,0.03,0.01,0.01,0.03,0.39,0.01,0.01,0.03,15
48107,0.03,0.03,0.03,0.09,0.03,0.06,0.03,0.06,0.1,0.03,0.04,0.03,15
48108,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.08,2
48109,0.03,0.07,0.07,0.07,0.03,0.07,0.03,0.03,0.03,0.03,0.03,0.03,13
48110,0.02,0.05,0.02,0.07,0.02,0.04,0.02,0.04,0.02,0.04,0.05,0.02,13
48111,0.02,0.03,0.02,0.03,0.02,0.05,0.04,0.04,0.06,0.02,0.02,0.06,13
48112,0.01,0.09,0.01,0.01,0.01,0.03,0.01,0.04,0.24,0.01,0.01,0.01,15
48113,0.03,0.03,0.03,0.05,0.03,0.03,0.03,0.05,0.03,0.03,0.08,0.03,13
48114,0.01,0.01,0.01,0.01,0.03,0.02,0.02,0.08,0.09,0.02,0.19,0.03,21
48115,0.02,0.01,0.02,0.01,0.01,0.01,0.03,0.02,0.04,0.01,0.07,0.04,17
48116,0.03,0.07,0.07,0.03,0.03,0.03,0.09,0.03,0.03,0.03,0.04,0.07,11
48117,0.01,0.03,0.02,0.03,0.01,0.01,0.02,0.01,0.28,0.01,0.15,0.01,15
48118,0.01,0.01,0.01,0.01,0.04,0.01,0.01,0.02,0.14,0.01,0.11,0.02,13
48119,0.03,0.03,0.03,0.03,0.03,0.11,0.03,0.03,0.03,0.07,0.03,0.03,8
48120,0.02,0.02,0.05,0.03,0.02,0.05,0.05,0.07,0.02,0.1,0.03,0.02,22
48121,0.03,0.03,0.03,0.08,0.06,0.03,0.03,0.07,0.03,0.06,0.1,0.03,21
48122,0.06,0.02,0.02,0.13,0.02,0.02,0.02,0.02,0.03,0.05,0.02,0.02,17
48123,0.01,0.01,0.01,0.07,0.03,0.02,0.01,0.01,0.03,0.04,0.02,0.04,22
48124,0.02,0.02,0.05,0.11,0.02,0.03,0.02,0.02,0.08,0.14,0.02,0.02,20
48125,0.02,0.02,0.06,0.05,0.02,0.02,0.02,0.03,0.03,0.09,0.02,0.02,17
48126,0.04,0.12,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,1
48127,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,8
48128,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,4
48129,0.03,0.03,0.09,0.02,0.03,0.05,0.03,0.06,0.04,0.06,0.03,0.03,2
48130,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0
48131,0.04,0.04,0.04,0.04,0.04,0.12,0.04,0.04,0.04,0.04,0.04,0.04,8
48132,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,4
48133,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,6
48134,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,8
48135,0.04,0.08,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,1
48136,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0
48137,0.02,0.05,0.02,0.09,0.05,0.12,0.02,0.11,0.03,0.07,0.02,0.02,8
48138,0.02,0.02,0.02,0.02,0.02,0.04,0.04,0.02,0.02,0.08,0.04,0.04,7
48139,0.17,0.03,0.03,0.03,0.03,0.03,0.06,0.04,0.03,0.07,0.03,0.03,0
48140,0.03,0.03,0.03,0.06,0.03,0.03,0.03,0.06,0.03,0.13,0.03,0.03,20
48141,0.03,0.03,0.03,0.06,0.06,0.03,0.03,0.03,0.09,0.12,0.03,0.03,20
48142,0.03,0.03,0.03,0.04,0.03,0.03,0.06,0.03,0.03,0.11,0.03,0.06,17
48143,0.09,0.02,0.14,0.02,0.02,0.05,0.02,0.05,0.1,0.03,0.02,0.02,2
48144,0.01,0.03,0.01,0.03,0.01,0.04,0.02,0.14,0.03,0.14,0.02,0.01,12
48145,0.03,0.03,0.06,0.05,0.03,0.16,0.03,0.03,0.03,0.03,0.05,0.03,8
48146,0.02,0.01,0.01,0.07,0.04,0.05,0.01,0.04,0.04,0.09,0.01,0.02,17
48147,0.02,0.01,0.05,0.06,0.03,0.01,0.01,0.03,0.06,0.11,0.02,0.03,20
48148,0.04,0.02,0.05,0.02,0.02,0.06,0.02,0.05,0.02,0.22,0.02,0.02,20
48149,0.01,0.01,0.03,0.04,0.04,0.06,0.05,0.02,0.03,0.12,0.01,0.01,22
48150,0.03,0.05,0.03,0.03,0.03,0.14,0.03,0.03,0.03,0.11,0.03,0.03,8
48151,0.03,0.04,0.01,0.01,0.01,0.13,0.01,0.02,0.07,0.07,0.02,0.01,8
48152,0.01,0.01,0.01,0.06,0.03,0.01,0.03,0.04,0.01,0.16,0.03,0.01,22
48153,0.03,0.03,0.06,0.03,0.03,0.06,0.03,0.03,0.03,0.03,0.03,0.06,3
48154,0.02,0.02,0.02,0.03,0.04,0.02,0.02,0.05,0.02,0.2,0.02,0.02,20
48155,0.03,0.03,0.03,0.05,0.06,0.03,0.05,0.03,0.03,0.04,0.07,0.03,22
48156,0.04,0.02,0.04,0.11,0.05,0.08,0.04,0.02,0.03,0.05,0.02,0.07,5
48157,0.02,0.02,0.01,0.03,0.03,0.05,0.02,0.02,0.08,0.12,0.02,0.02,7
48158,0.03,0.01,0.01,0.04,0.01,0.13,0.01,0.04,0.02,0.24,0.02,0.01,20
48159,0.03,0.02,0.03,0.05,0.02,0.06,0.05,0.02,0.04,0.07,0.09,0.02,14
48160,0.02,0.02,0.02,0.05,0.02,0.09,0.02,0.04,0.04,0.19,0.02,0.02,20
48161,0.05,0.03,0.03,0.05,0.05,0.03,0.03,0.03,0.05,0.09,0.03,0.08,20
48162,0.01,0.02,0.03,0.08,0.03,0.07,0.01,0.02,0.04,0.13,0.07,0.02,20
48163,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.05,0.03,0.03,22
48164,0.01,0.03,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.17,0.01,0.01,7
48165,0.05,0.02,0.02,0.15,0.02,0.07,0.05,0.02,0.03,0.08,0.02,0.02,5
48166,0.01,0.03,0.01,0.06,0.07,0.01,0.03,0.02,0.08,0.36,0.02,0.01,20
48167,0.03,0.01,0.01,0.05,0.02,0.22,0.01,0.02,0.05,0.05,0.02,0.01,8
48168,0.02,0.02,0.02,0.06,0.07,0.02,0.02,0.08,0.16,0.02,0.02,0.02,15
48169,0.02,0.02,0.04,0.14,0.02,0.02,0.02,0.03,0.05,0.06,0.02,0.02,7
48170,0.02,0.02,0.06,0.13,0.06,0.02,0.04,0.07,0.09,0.02,0.02,0.02,5
48171,0.06,0.03,0.06,0.03,0.03,0.03,0.06,0.03,0.04,0.03,0.03,0.03,9
48172,0.02,0.02,0.01,0.01,0.02,0.2,0.02,0.02,0.02,0.29,0.02,0.02,20
48173,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,20
48174,0.11,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.07,0.08,0.03,0
48175,0.03,0.03,0.02,0.15,0.03,0.05,0.03,0.02,0.02,0.02,0.02,0.03,5
48176,0.02,0.02,0.08,0.04,0.02,0.07,0.03,0.05,0.07,0.1,0.04,0.02,20
48177,0.02,0.02,0.02,0.08,0.02,0.05,0.02,0.02,0.05,0.1,0.02,0.02,20
48178,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,6
48179,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.05,0.03,0.03,4
48180,0.03,0.07,0.03,0.03,0.03,0.03,0.06,0.03,0.09,0.03,0.03,0.03,15
48181,0.02,0.02,0.04,0.02,0.04,0.02,0.04,0.03,0.03,0.11,0.02,0.04,3
48182,0.02,0.02,0.05,0.06,0.05,0.04,0.05,0.05,0.08,0.02,0.02,0.02,22
48183,0.03,0.03,0.03,0.05,0.09,0.06,0.03,0.03,0.03,0.03,0.03,0.03,3
48184,0.03,0.03,0.03,0.11,0.03,0.03,0.09,0.03,0.03,0.08,0.03,0.06,5
48185,0.03,0.03,0.06,0.03,0.03,0.06,0.03,0.03,0.06,0.03,0.03,0.03,22
48186,0.03,0.03,0.03,0.04,0.03,0.06,0.06,0.03,0.03,0.14,0.03,0.03,20
48187,0.02,0.02,0.04,0.09,0.09,0.02,0.07,0.02,0.02,0.07,0.02,0.02,5
48188,0.05,0.02,0.02,0.07,0.04,0.02,0.05,0.02,0.03,0.03,0.03,0.02,22
48189,0.08,0.02,0.05,0.03,0.12,0.02,0.02,0.02,0.08,0.12,0.02,0.02,6
48190,0.03,0.03,0.06,0.03,0.06,0.03,0.03,0.03,0.03,0.15,0.03,0.03,20
48191,0.03,0.03,0.03,0.14,0.03,0.07,0.03,0.03,0.07,0.07,0.03,0.03,5
48192,0.02,0.02,0.05,0.02,0.04,0.1,0.02,0.02,0.02,0.02,0.02,0.02,7
48193,0.02,0.02,0.04,0.07,0.08,0.02,0.02,0.05,0.06,0.04,0.02,0.02,17
48194,0.06,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.06,0.03,0.03,14
48195,0.02,0.04,0.02,0.02,0.02,0.02,0.06,0.02,0.06,0.36,0.02,0.02,20
48196,0.02,0.01,0.02,0.04,0.01,0.03,0.01,0.03,0.06,0.24,0.01,0.01,20
48197,0.03,0.03,0.06,0.16,0.03,0.03,0.03,0.03,0.03,0.1,0.03,0.07,5
48198,0.02,0.02,0.03,0.07,0.02,0.04,0.02,0.02,0.06,0.11,0.02,0.02,10
48199,0.02,0.02,0.02,0.11,0.02,0.02,0.02,0.03,0.03,0.08,0.02,0.05,5
48200,0.03,0.03,0.06,0.09,0.03,0.06,0.03,0.03,0.03,0.09,0.03,0.03,5
48201,0.02,0.02,0.04,0.1,0.02,0.02,0.02,0.05,0.12,0.02,0.02,0.02,15
48202,0.1,0.02,0.06,0.04,0.02,0.02,0.02,0.02,0.05,0.13,0.02,0.02,20
48203,0.03,0.03,0.06,0.11,0.03,0.16,0.03,0.03,0.03,0.04,0.03,0.03,8
48204,0.02,0.02,0.02,0.04,0.02,0.06,0.02,0.05,0.02,0.11,0.06,0.02,3
48205,0.04,0.02,0.02,0.02,0.02,0.02,0.05,0.02,0.03,0.35,0.04,0.02,20
48206,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.04,0.23,0.01,0.01,20
48207,0.02,0.01,0.01,0.01,0.01,0.03,0.01,0.02,0.11,0.1,0.02,0.14,22
48208,0.03,0.02,0.04,0.06,0.03,0.11,0.02,0.02,0.13,0.1,0.02,0.03,7
48209,0.02,0.02,0.07,0.1,0.03,0.02,0.04,0.04,0.02,0.04,0.02,0.04,5
48210,0.01,0.03,0.02,0.03,0.03,0.08,0.01,0.06,0.01,0.13,0.01,0.01,7
48211,0.02,0.07,0.08,0.03,0.02,0.04,0.04,0.03,0.02,0.08,0.02,0.02,7
48212,0.01,0.02,0.03,0.02,0.03,0.05,0.0,0.01,0.03,0.05,0.08,0.02,7
48213,0.01,0.01,0.04,0.05,0.02,0.03,0.01,0.03,0.05,0.26,0.05,0.01,20
48214,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,8
48215,0.04,0.03,0.03,0.03,0.04,0.03,0.04,0.07,0.03,0.07,0.03,0.08,23
48216,0.03,0.03,0.03,0.03,0.1,0.1,0.03,0.03,0.03,0.03,0.03,0.1,6
48217,0.17,0.02,0.07,0.03,0.04,0.02,0.02,0.02,0.02,0.07,0.02,0.02,0
48218,0.03,0.03,0.03,0.03,0.03,0.17,0.03,0.03,0.03,0.03,0.09,0.03,8
48219,0.03,0.02,0.02,0.1,0.06,0.02,0.06,0.02,0.03,0.06,0.02,0.02,17
48220,0.04,0.02,0.05,0.1,0.02,0.05,0.05,0.02,0.02,0.1,0.02,0.02,22
48221,0.02,0.01,0.01,0.02,0.01,0.01,0.03,0.01,0.03,0.15,0.02,0.01,22
48222,0.02,0.02,0.02,0.02,0.02,0.24,0.02,0.09,0.03,0.02,0.03,0.02,8
48223,0.03,0.03,0.11,0.05,0.03,0.03,0.05,0.03,0.03,0.13,0.03,0.03,20
48224,0.06,0.02,0.02,0.04,0.02,0.02,0.05,0.04,0.15,0.11,0.03,0.02,15
48225,0.1,0.02,0.04,0.04,0.04,0.02,0.02,0.02,0.04,0.12,0.02,0.02,17
48226,0.03,0.03,0.03,0.03,0.03,0.09,0.03,0.03,0.04,0.12,0.03,0.03,20
48227,0.02,0.02,0.02,0.07,0.02,0.04,0.02,0.02,0.05,0.2,0.02,0.04,20
48228,0.04,0.02,0.06,0.12,0.03,0.02,0.04,0.02,0.06,0.04,0.02,0.02,5
48229,0.07,0.03,0.03,0.06,0.03,0.03,0.07,0.03,0.03,0.03,0.03,0.03,3
48230,0.03,0.07,0.03,0.06,0.07,0.03,0.03,0.04,0.04,0.03,0.05,0.1,23
48231,0.03,0.03,0.03,0.07,0.03,0.03,0.03,0.03,0.08,0.03,0.03,0.03,17
48232,0.03,0.06,0.06,0.05,0.03,0.14,0.03,0.03,0.03,0.04,0.03,0.03,8
48233,0.01,0.02,0.02,0.01,0.01,0.03,0.02,0.01,0.08,0.28,0.03,0.01,20
48234,0.08,0.02,0.02,0.04,0.02,0.02,0.05,0.03,0.02,0.03,0.02,0.02,22
48235,0.03,0.03,0.03,0.03,0.07,0.03,0.03,0.03,0.03,0.03,0.03,0.09,23
48236,0.02,0.02,0.02,0.02,0.03,0.06,0.02,0.02,0.07,0.11,0.04,0.02,3
48237,0.02,0.02,0.02,0.05,0.05,0.03,0.02,0.02,0.02,0.26,0.02,0.05,20
48238,0.02,0.02,0.02,0.1,0.02,0.02,0.02,0.05,0.02,0.16,0.02,0.1,20
48239,0.01,0.02,0.04,0.04,0.01,0.01,0.01,0.01,0.04,0.21,0.04,0.01,20
48240,0.02,0.02,0.02,0.02,0.02,0.07,0.03,0.03,0.02,0.26,0.02,0.02,20
48241,0.03,0.06,0.03,0.1,0.05,0.02,0.04,0.04,0.03,0.1,0.03,0.02,5
48242,0.03,0.03,0.03,0.09,0.03,0.03,0.03,0.03,0.03,0.21,0.03,0.03,20
48243,0.02,0.02,0.04,0.14,0.02,0.05,0.02,0.02,0.13,0.03,0.02,0.02,5
48244,0.01,0.04,0.01,0.02,0.01,0.01,0.01,0.02,0.03,0.17,0.06,0.01,7
48245,0.03,0.03,0.07,0.03,0.04,0.15,0.03,0.03,0.03,0.03,0.03,0.03,8
48246,0.01,0.01,0.04,0.1,0.01,0.16,0.01,0.03,0.08,0.15,0.01,0.01,8
48247,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,8
48248,0.02,0.02,0.02,0.05,0.06,0.03,0.06,0.02,0.02,0.03,0.02,0.02,17
48249,0.06,0.02,0.06,0.02,0.02,0.02,0.04,0.02,0.02,0.2,0.02,0.02,20
48250,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0.04,0.09,0.27,0.01,0.03,20
48251,0.02,0.02,0.03,0.02,0.02,0.03,0.01,0.02,0.05,0.08,0.01,0.01,17
48252,0.03,0.09,0.09,0.06,0.03,0.03,0.06,0.03,0.03,0.11,0.03,0.03,20
48253,0.02,0.02,0.02,0.02,0.02,0.3,0.02,0.03,0.02,0.02,0.02,0.02,8
48254,0.02,0.02,0.05,0.07,0.02,0.02,0.02,0.04,0.04,0.03,0.05,0.05,17
48255,0.03,0.06,0.02,0.02,0.03,0.03,0.03,0.02,0.04,0.03,0.02,0.03,7
48256,0.01,0.01,0.01,0.05,0.03,0.02,0.01,0.01,0.01,0.24,0.01,0.01,20
48257,0.02,0.02,0.02,0.11,0.06,0.02,0.04,0.02,0.13,0.09,0.06,0.04,15
48258,0.02,0.02,0.02,0.05,0.05,0.04,0.02,0.02,0.13,0.03,0.04,0.02,7
48259,0.01,0.01,0.02,0.03,0.01,0.08,0.01,0.07,0.01,0.21,0.03,0.01,20
48260,0.01,0.04,0.01,0.08,0.01,0.08,0.01,0.02,0.02,0.09,0.03,0.01,7
48261,0.04,0.01,0.01,0.05,0.02,0.04,0.01,0.04,0.02,0.18,0.06,0.01,20
48262,0.01,0.03,0.02,0.02,0.04,0.09,0.01,0.03,0.3,0.02,0.02,0.01,15
48263,0.05,0.02,0.06,0.02,0.06,0.04,0.08,0.02,0.07,0.15,0.02,0.02,20
48264,0.03,0.01,0.01,0.03,0.01,0.01,0.04,0.02,0.03,0.22,0.01,0.01,20
48265,0.02,0.02,0.05,0.07,0.02,0.09,0.02,0.02,0.21,0.03,0.02,0.02,15
48266,0.02,0.02,0.04,0.03,0.05,0.04,0.02,0.02,0.29,0.08,0.02,0.02,15
48267,0.03,0.03,0.03,0.03,0.03,0.06,0.03,0.05,0.08,0.06,0.03,0.06,19
48268,0.01,0.03,0.03,0.04,0.04,0.04,0.01,0.01,0.19,0.17,0.01,0.01,15
48269,0.04,0.04,0.01,0.03,0.03,0.04,0.03,0.01,0.32,0.04,0.01,0.03,15
48270,0.03,0.03,0.02,0.06,0.03,0.02,0.02,0.03,0.26,0.05,0.02,0.03,15
48271,0.02,0.06,0.02,0.02,0.1,0.02,0.02,0.02,0.17,0.05,0.02,0.02,15
48272,0.07,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,8
48273,0.04,0.04,0.04,0.04,0.04,0.04,0.07,0.04,0.04,0.04,0.04,0.04,19
48274,0.01,0.01,0.05,0.08,0.02,0.03,0.01,0.07,0.13,0.12,0.05,0.01,15
48275,0.01,0.01,0.02,0.06,0.01,0.02,0.01,0.07,0.05,0.3,0.08,0.01,20
48276,0.01,0.02,0.06,0.09,0.02,0.04,0.04,0.04,0.01,0.1,0.01,0.01,17
48277,0.01,0.01,0.04,0.03,0.01,0.03,0.03,0.01,0.02,0.19,0.01,0.04,13
48278,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.06,0.02,0.02,13
48279,0.02,0.02,0.02,0.1,0.02,0.09,0.02,0.02,0.04,0.11,0.02,0.02,7
48280,0.01,0.03,0.0,0.03,0.02,0.02,0.01,0.03,0.07,0.01,0.33,0.0,21
48281,0.01,0.02,0.01,0.03,0.01,0.03,0.01,0.05,0.1,0.01,0.33,0.01,21
48282,0.0,0.01,0.01,0.02,0.01,0.03,0.01,0.06,0.11,0.01,0.18,0.01,17
48283,0.02,0.02,0.02,0.07,0.02,0.05,0.02,0.08,0.05,0.02,0.16,0.02,21
48284,0.03,0.03,0.07,0.06,0.01,0.03,0.01,0.01,0.08,0.02,0.26,0.03,21
48285,0.07,0.05,0.03,0.03,0.05,0.03,0.03,0.03,0.25,0.03,0.05,0.03,15
48286,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.06,0.01,0.03,0.06,0.03,13
48287,0.02,0.02,0.03,0.05,0.02,0.03,0.02,0.02,0.08,0.02,0.21,0.04,21
48288,0.03,0.06,0.03,0.08,0.03,0.03,0.03,0.03,0.22,0.02,0.04,0.03,15
48289,0.02,0.02,0.02,0.07,0.02,0.04,0.05,0.03,0.07,0.02,0.21,0.02,21
48290,0.03,0.03,0.03,0.03,0.03,0.03,0.09,0.03,0.03,0.03,0.04,0.03,17
48291,0.02,0.04,0.02,0.02,0.03,0.04,0.04,0.02,0.09,0.02,0.17,0.02,21
48292,0.01,0.01,0.01,0.01,0.03,0.02,0.02,0.04,0.07,0.02,0.22,0.02,21
48293,0.02,0.02,0.07,0.1,0.01,0.01,0.02,0.01,0.14,0.01,0.23,0.02,21
48294,0.0,0.01,0.01,0.02,0.01,0.02,0.0,0.02,0.01,0.01,0.33,0.01,21
48295,0.01,0.03,0.03,0.01,0.03,0.03,0.01,0.04,0.14,0.02,0.28,0.01,21
48296,0.02,0.01,0.01,0.03,0.02,0.03,0.01,0.04,0.27,0.01,0.2,0.01,15
48297,0.01,0.01,0.03,0.07,0.03,0.01,0.01,0.02,0.05,0.09,0.21,0.03,21
48298,0.01,0.01,0.01,0.02,0.01,0.04,0.01,0.01,0.04,0.01,0.32,0.03,21
48299,0.01,0.01,0.02,0.02,0.02,0.05,0.01,0.03,0.02,0.01,0.23,0.02,21
48300,0.02,0.01,0.02,0.04,0.02,0.02,0.0,0.05,0.05,0.01,0.25,0.01,21
48301,0.04,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.03,0.01,0.38,0.03,21
48302,0.03,0.03,0.03,0.06,0.03,0.03,0.03,0.03,0.09,0.03,0.03,0.03,17
48303,0.01,0.04,0.01,0.02,0.01,0.03,0.01,0.03,0.08,0.0,0.33,0.01,21
48304,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.04,0.06,0.23,0.02,21
48305,0.02,0.02,0.03,0.06,0.02,0.02,0.02,0.01,0.15,0.01,0.17,0.02,21
48306,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.03,0.1,0.01,0.37,0.0,21
48307,0.02,0.02,0.05,0.05,0.02,0.05,0.02,0.02,0.04,0.02,0.1,0.02,17
48308,0.01,0.07,0.04,0.07,0.01,0.04,0.01,0.05,0.11,0.01,0.21,0.01,21
48309,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.08,0.07,0.03,0.15,0.03,21
48310,0.02,0.02,0.02,0.09,0.02,0.02,0.04,0.02,0.02,0.02,0.23,0.07,21
48311,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.08,0.03,0.02,0.33,0.01,21
48312,0.02,0.02,0.03,0.03,0.05,0.01,0.02,0.02,0.1,0.01,0.17,0.02,21
48313,0.04,0.01,0.01,0.03,0.01,0.03,0.02,0.05,0.03,0.03,0.19,0.03,21
48314,0.03,0.06,0.03,0.03,0.06,0.03,0.06,0.03,0.03,0.03,0.11,0.03,10
48315,0.02,0.02,0.09,0.05,0.02,0.03,0.02,0.02,0.13,0.02,0.12,0.02,15
48316,0.02,0.02,0.03,0.05,0.02,0.02,0.02,0.02,0.05,0.02,0.06,0.05,7
48317,0.02,0.03,0.01,0.02,0.02,0.02,0.01,0.03,0.06,0.01,0.19,0.02,21
48318,0.03,0.03,0.03,0.03,0.03,0.06,0.06,0.04,0.03,0.04,0.15,0.03,21
48319,0.01,0.01,0.02,0.03,0.01,0.02,0.01,0.02,0.11,0.01,0.29,0.01,21
48320,0.01,0.02,0.01,0.04,0.03,0.05,0.01,0.01,0.05,0.01,0.27,0.02,21
48321,0.03,0.03,0.03,0.03,0.03,0.1,0.06,0.03,0.03,0.03,0.03,0.03,8
48322,0.01,0.01,0.04,0.04,0.02,0.08,0.01,0.03,0.04,0.01,0.12,0.01,13
48323,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.03,13
48324,0.02,0.02,0.02,0.04,0.02,0.04,0.03,0.03,0.05,0.02,0.02,0.02,13
48325,0.03,0.01,0.01,0.06,0.02,0.02,0.01,0.02,0.01,0.01,0.15,0.05,7
48326,0.02,0.02,0.1,0.02,0.04,0.02,0.07,0.02,0.02,0.02,0.02,0.02,22
48327,0.0,0.0,0.0,0.02,0.0,0.03,0.0,0.03,0.1,0.01,0.36,0.0,21
48328,0.04,0.01,0.01,0.04,0.01,0.01,0.01,0.04,0.09,0.03,0.06,0.01,9
48329,0.02,0.02,0.02,0.08,0.04,0.02,0.02,0.02,0.03,0.02,0.19,0.02,21
48330,0.03,0.03,0.03,0.03,0.03,0.06,0.06,0.03,0.05,0.03,0.17,0.03,21
48331,0.05,0.03,0.03,0.03,0.03,0.03,0.06,0.03,0.03,0.03,0.03,0.06,4
48332,0.02,0.05,0.03,0.03,0.03,0.01,0.01,0.1,0.09,0.01,0.07,0.01,9
48333,0.03,0.06,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.06,13
48334,0.03,0.03,0.03,0.03,0.03,0.09,0.03,0.04,0.11,0.03,0.03,0.03,15
48335,0.01,0.01,0.03,0.03,0.03,0.01,0.02,0.06,0.08,0.03,0.24,0.01,21
48336,0.03,0.03,0.03,0.03,0.03,0.03,0.06,0.03,0.06,0.03,0.13,0.03,21
48337,0.02,0.02,0.02,0.06,0.05,0.04,0.02,0.02,0.08,0.02,0.24,0.02,21
48338,0.02,0.02,0.04,0.06,0.02,0.02,0.04,0.02,0.03,0.02,0.23,0.02,21
48339,0.02,0.02,0.02,0.02,0.09,0.02,0.02,0.1,0.12,0.02,0.22,0.02,21
48340,0.03,0.06,0.03,0.06,0.03,0.03,0.06,0.06,0.03,0.03,0.17,0.03,21
48341,0.03,0.03,0.07,0.03,0.03,0.03,0.03,0.07,0.03,0.03,0.03,0.03,2
48342,0.03,0.03,0.05,0.02,0.08,0.02,0.02,0.02,0.02,0.02,0.17,0.03,21
48343,0.04,0.02,0.15,0.07,0.05,0.02,0.02,0.03,0.02,0.02,0.14,0.05,2
48344,0.04,0.02,0.06,0.02,0.01,0.05,0.02,0.02,0.01,0.01,0.24,0.01,21
48345,0.03,0.03,0.12,0.06,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.06,2
48346,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0.01,0.21,0.01,0.25,0.01,21
48347,0.02,0.02,0.02,0.02,0.02,0.17,0.02,0.02,0.22,0.02,0.05,0.02,15
48348,0.04,0.01,0.03,0.01,0.01,0.03,0.01,0.01,0.03,0.01,0.31,0.02,21
48349,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.08,0.07,22
48350,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.03,0.04,0.03,0.19,0.01,21
48351,0.01,0.03,0.02,0.02,0.01,0.03,0.01,0.05,0.07,0.01,0.12,0.03,17
48352,0.01,0.01,0.01,0.01,0.07,0.03,0.02,0.01,0.06,0.02,0.38,0.01,21
48353,0.05,0.03,0.03,0.09,0.04,0.01,0.01,0.07,0.03,0.01,0.18,0.02,21
48354,0.03,0.07,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.03,13
48355,0.02,0.02,0.04,0.02,0.02,0.03,0.06,0.04,0.02,0.02,0.05,0.02,13
48356,0.04,0.02,0.02,0.1,0.06,0.02,0.02,0.02,0.07,0.08,0.13,0.02,21
48357,0.04,0.01,0.02,0.04,0.01,0.03,0.01,0.03,0.02,0.01,0.31,0.01,21
48358,0.01,0.01,0.02,0.05,0.01,0.01,0.01,0.05,0.05,0.01,0.32,0.01,21
48359,0.03,0.01,0.01,0.03,0.02,0.0,0.0,0.04,0.22,0.01,0.32,0.02,21
48360,0.03,0.01,0.01,0.03,0.02,0.0,0.0,0.04,0.22,0.01,0.32,0.02,21
48361,0.02,0.01,0.02,0.02,0.02,0.01,0.02,0.05,0.09,0.01,0.11,0.02,9
48362,0.01,0.0,0.01,0.03,0.03,0.02,0.01,0.05,0.12,0.02,0.38,0.01,21
